id,key,u,v
31362,423374770|1399154982|36289062,423374770,1399154982
31363,423374770|1399154942|36289062,423374770,1399154942
31364,423374770|12655853586|126138209,423374770,12655853586
31365,1399154982|423374789|36289062,1399154982,423374789
31366,1399154982|1399154942|126138190,1399154982,1399154942
31367,423376296|12655896907|36289201,423376296,12655896907
31368,423376296|7426119895|36289201,423376296,7426119895
31369,423376296|423378230|36289399,423376296,423378230
31370,12655896907|423404119|36292046,12655896907,423404119
31371,7426119895|7426119893|1230284247,7426119895,7426119893
31372,423378230|423378233|36289399,423378230,423378233
31373,423378230|423412862|36292902,423378230,423412862
31374,423378233|423378244|36289399,423378233,423378244
31375,423378233|423413629|36292931,423378233,423413629
31376,423495341|13232730309|38754140,423495341,13232730309
31377,423399470|9566752470|36289318,423399470,9566752470
31378,423404119|423404119|36292046,423404119,423404119
31379,459510905|459509058|234863400,459510905,459509058
31380,459510905|600747878|452754900,459510905,600747878
31381,13232730309|13232730305|38754140,13232730309,13232730305
31382,423752791|2502662937|27547237,423752791,2502662937
31383,423752791|423752855|36328798,423752791,423752855
31384,2502662937|423752862|27547237,2502662937,423752862
31385,423752855|423752853|36328802,423752855,423752853
31386,423752855|965921298|36328798,423752855,965921298
31387,423752792|423752833|36328798,423752792,423752833
31388,423752833|965921298|36328798,423752833,965921298
31389,423752833|423752839|36328800,423752833,423752839
31390,965921298|965921300|83018980,965921298,965921300
31391,965921298|965921296|83018980,965921298,965921296
31392,423752839|965921300|36328801,423752839,965921300
31393,965921300|423752853|36328801,965921300,423752853
31394,423752853|423752862|36328802,423752853,423752862
31395,"423915755|2151753600|[48582798, 36345446]",423915755,2151753600
31396,423915755|529428597|37943893,423915755,529428597
31397,423915755|4656544869|52911625,423915755,4656544869
31398,2151753600|2151753604|48582798,2151753600,2151753604
31399,2151753600|2151753598|205198694,2151753600,2151753598
31400,529428597|445542535|37943893,529428597,445542535
31401,529428597|2151864665|251758734,529428597,2151864665
31402,4656544869|4656528260|471497076,4656544869,4656528260
31403,423915761|533650605|42675646,423915761,533650605
31404,423915761|554291100|36345447,423915761,554291100
31405,423915761|435109844|66360915,423915761,435109844
31406,533650605|533648869|42675646,533650605,533648869
31407,533650605|533648662|205200734,533650605,533648662
31408,"554291100|2151710551|[66360899, 36345447]",554291100,2151710551
31409,554291100|554291207|43767059,554291100,554291207
31410,435109844|435109857|37330269,435109844,435109857
31411,435109844|2151753594|48582798,435109844,2151753594
31412,423915992|2151710551|66360899,423915992,2151710551
31413,2151710551|2151710555|205193982,2151710551,2151710555
31414,424070349|424070378|36361386,424070349,424070378
31415,424070349|13386321014|932346614,424070349,13386321014
31416,13386321014|13386321015|1460014263,13386321014,13386321015
31417,13386321014|8642912103|932346614,13386321014,8642912103
31418,569523087|569523077|44912068,569523087,569523077
31419,425569732|425569741|32784604,425569732,425569741
31420,425569732|425569740|36537728,425569732,425569740
31421,425569719|425569779|32784604,425569719,425569779
31422,425569719|425569730|32784604,425569719,425569730
31423,425569719|425569758|36537732,425569719,425569758
31424,425569779|425569759|32784604,425569779,425569759
31425,425569779|425569784|36537736,425569779,425569784
31426,425569730|1883056389|24923005,425569730,1883056389
31427,1883056389|428489467|24923005,1883056389,428489467
31428,1883056389|4414460217|443936026,1883056389,4414460217
31429,425569741|425569759|32784604,425569741,425569759
31430,425569741|425569757|36537730,425569741,425569757
31431,425569759|425569770|36537734,425569759,425569770
31432,425607608|425607606|29312144,425607608,425607606
31433,"425607608|425607624|[36542562, 1467001202]",425607608,425607624
31434,425607649|425607651|36542568,425607649,425607651
31435,"425607649|425607645|[36542563, 36542565]",425607649,425607645
31436,425607606|425607642|36542563,425607606,425607642
31437,425607606|425607624|1467001202,425607606,425607624
31438,425607642|425607645|36542563,425607642,425607645
31439,425607642|425607644|36542566,425607642,425607644
31440,425607624|425607626|36542564,425607624,425607626
31441,425607645|425607647|36542567,425607645,425607647
31442,425607651|2494862267|36542568,425607651,2494862267
31443,425607651|425607662|36542569,425607651,425607662
31444,"425754356|425754361|[36566312, 36566308]",425754356,425754361
